"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30"
-0.0791999999999999,-0.9274,-0.1136,0.9332,-0.9244,0.9778,-0.102,0.7652,-0.0489999999999999,0.8244,0.8682,0.9834,-0.1086,-0.7182,0.056,0.7348,0.8932,-0.1518,-0.8722,-0.9922,0.8246,-0.0931999999999999,-0.9568,-0.9482,0.9462,-0.0226,-0.7862,0.84,0.9544,-0.00619999999999998
0.0840000000000001,-0.073,0.9606,-0.9626,-0.1516,-0.0282,0.0336000000000001,0.0292000000000001,-0.978,-0.9078,0.0608,-0.986,0.9004,-0.8792,0.8656,-0.9468,0.8666,-0.9934,-0.9488,0.0456000000000001,0.694,0.0578000000000001,-0.9698,-0.0823999999999999,0.0110000000000001,-0.978,-0.8894,-0.7958,0.0438000000000001,0.8462
-0.1098,0.0284,-0.000399999999999956,0.913,-0.5614,0.1106,0.9606,-0.0806,-0.1218,-0.0264,0.0322,-0.0743999999999999,-0.0249999999999999,-0.6026,0.103,-0.9968,-0.838,-0.8972,-0.9064,0.9198,0.0436000000000001,0.911,0.9938,0.8706,-0.00739999999999996,0.9618,-0.9554,0.965,0.9018,0.9454
0.0496000000000001,-0.121,-0.0376,-0.953,0.0476000000000001,-0.997,0.858,-0.7596,0.9532,-0.84,0.9638,-0.00519999999999998,0.0884,0.0338000000000001,-0.9854,-0.0628,-0.8906,-0.8492,-0.0304,-0.7996,-0.0511999999999999,0.9162,-0.9698,-0.9662,0.0616000000000001,-0.7586,0.7588,-0.8918,-0.9396,0.0490000000000002
-0.8926,0.9992,-0.9326,0.9464,-0.996,-0.0499999999999999,0.8598,0.8306,-0.8292,-0.9918,0.956,0.0154000000000001,0.768,-0.9396,0.9598,-0.9338,0.1274,0.944,-0.7896,0.0264,0.9436,-0.9688,0.118,0.1176,-0.8798,0.9878,0.0330000000000001,-0.9622,-0.8834,-0.0531999999999999
0.9704,0.0498000000000001,-0.0641999999999999,0.0896000000000001,-0.0773999999999999,0.8348,0.806,-0.7454,0.00459999999999994,0.0574000000000001,-0.9716,0.776,-0.6392,0.0744,0.7602,-0.8732,-0.9658,-0.0688,-0.8794,-0.9906,-0.8068,-0.2124,0.0302,0.00160000000000005,0.0652000000000001,-0.8484,-0.9974,-0.9994,0.0288000000000002,0.995
-0.0419999999999999,-0.1584,0.9288,-0.0581999999999999,-0.1322,-0.9698,-0.7424,-0.945,0.9134,-0.9662,0.6618,0.9466,-0.9472,0.949,0.1336,0.0346,0.0628,0.0462,-0.9532,0.0394000000000001,0.6246,-0.8456,-0.0322,0.9848,-0.9948,0.0266,0.0124,-0.0182,-0.9876,0.9538
-0.0299999999999999,0.9756,-0.9458,-0.9022,-0.0302,-0.8776,0.0649999999999999,-0.9296,0.0314000000000001,0.8992,-0.0289999999999999,0.0620000000000001,0.8164,-0.0439999999999999,0.7852,0.768,0.8486,-0.9996,0.9474,-0.7942,-0.0731999999999999,0.8912,0.8396,-0.947,0.9286,-0.0559999999999999,0.0174000000000001,-0.9794,0.948,0.9772
0.7632,-0.9572,-0.963,-0.1498,0.9912,-0.915,-0.0721999999999999,-0.0716,0.9348,0.789,-0.9202,0.9222,-0.0546,-0.0237999999999999,0.97,-0.0439999999999999,-0.9676,-0.8568,-0.0726,-0.9004,-0.0434,0.0387999999999999,-0.0484,0.896,0.0676000000000001,0.7988,-0.705,-0.9774,-0.9294,-0.9344
0.0618000000000001,0.1118,0.98,0.151,0.9476,0.0768,-0.0631999999999999,-0.959,0.0512000000000001,-0.9494,0.961,0.9744,0.0450000000000002,-0.9648,-0.0252,-0.0214,0.4396,0.9588,0.92,-0.0681999999999999,0.0184,-0.0479999999999999,0.0640000000000001,0.085,0.5008,-0.0175999999999999,0.0746,-0.946,0.0112000000000001,0.9642
0.9222,0.7734,-0.1224,-0.8924,0.801,0.9142,0.0338000000000001,0.9936,-0.9212,-0.0334,-0.0935999999999999,0.805,0.0256000000000001,0.9006,0.2374,0.9834,-0.9954,0.927,-0.0668,-0.0823999999999999,0.9518,0.975,-0.0339999999999999,0.934,0.9824,0.0516000000000001,-0.708,-0.7944,0.7768,0.9394
0.9368,0.9772,-0.8618,0.7914,0.9844,0.0122,-0.9994,-0.9352,0.018,0.8286,0.8412,-0.7578,0.9086,-0.0296,-0.9418,0.0304,0.9224,-0.95,0.0144,-0.988,-0.0456,-0.2026,0.9652,-0.863,-0.8444,0.9454,-0.9672,0.00140000000000007,0.1074,0.914
-0.801,0.0418000000000001,-0.0154,0.0522,0.102,0.0680000000000001,-0.9284,-0.6984,-0.0441999999999999,-0.1114,0.1298,0.844,-0.0636,-0.9928,0.9998,0.0594000000000001,0.0606,-0.9896,-0.7836,-0.9826,0.8858,-0.9976,-0.0309999999999999,-0.916,-0.8742,0.737,-0.955,0.9392,-0.083,0.9134
-0.0259999999999999,-0.8324,-0.9614,-0.00659999999999994,-0.9328,-0.9234,-0.0768,0.981,0.88,0.0490000000000002,-0.9872,-0.7722,-0.9308,-0.407,-0.8032,0.9574,0.9748,-0.9074,-0.8748,-0.8628,-0.8294,-0.8964,0.9084,0.101,0.9696,0.0352000000000001,0.0546,0.9234,-0.1302,0.3042
-0.9168,-0.9942,0.0738000000000001,0.0156000000000001,0.9506,-0.7634,0.0598000000000001,-0.8616,0.8072,-0.955,-0.0803999999999999,-0.132,0.9852,-0.856,-0.7676,0.991,0.0347999999999999,-0.8402,0.988,0.944,0.0236000000000001,-0.9062,0.0407999999999999,0.9414,0.961,0.6484,0.7182,-0.9104,0.9546,0.9818
-0.9484,-0.8896,-0.8842,0.04,0.9502,-0.0728,0.9766,0.6696,-0.11,0.1236,0.1158,-0.824,0.902,-0.9304,0.0356000000000001,-0.1188,0.9964,-0.0564,-0.6562,-0.975,-0.1522,0.9404,0.00619999999999998,0.0230000000000001,-0.0124,0.0316000000000001,0.8962,-0.8146,0.968,0.00560000000000005
-0.7846,0.0122,-0.5556,0.9732,0.931,-0.9966,0.8288,-0.9224,-0.9812,-0.847,-0.0144,0.00940000000000007,-0.0713999999999999,0.0732000000000002,0.1388,-0.8944,0.983,0.7998,0.8318,0.0824,-0.00219999999999998,0.9254,-0.914,-0.8434,-0.00119999999999998,0.0478000000000001,-0.9204,0.7856,-0.9138,-0.9984
-0.1616,-0.111,-0.903,-0.9304,0.769,-0.8038,0.0318000000000001,0.977,-0.8282,0.908,0.0530000000000002,0.9874,-0.9834,-0.7674,-0.0135999999999999,0.6862,0.0246,-0.753,0.8064,0.9692,-0.8272,-0.9796,0.913,0.0844,-0.0831999999999999,0.8138,0.4838,-0.976,-0.0177999999999999,0.032
-0.8248,0.8506,-0.9898,-0.9884,0.8192,-0.9268,0.128,0.8218,0.859,0.0578000000000001,0.146,0.8388,-0.9424,0.9004,-0.9096,0.972,-0.9512,0.8598,-0.0629999999999999,0.941,0.0118,0.0310000000000001,-0.9924,-0.7654,-0.8616,-0.9378,0.9844,-0.928,0.7636,0.6568
-0.8294,-0.7848,-0.083,0.6188,-0.0279999999999999,0.935,-0.0214,-0.9508,0.0212000000000001,-0.9792,0.7896,-0.9894,-0.1066,0.9662,0.9984,0.1276,0.00260000000000016,0.0574000000000001,-0.7988,-0.6728,0.781,0.0252000000000001,0.9256,0.0858000000000001,-0.8732,-0.1082,0.135,0.9732,0.9244,-0.957
